Date,Value
1/1/2022,1684
2/1/2022,2251
3/1/2022,3339
4/1/2022,1324
5/1/2022,1505
6/1/2022,4935
7/1/2022,3953
8/1/2022,2127
9/1/2022,1795
10/1/2022,786
11/1/2022,2008
12/1/2022,3463
13/1/2022,3163
14/1/2022,5668
15/1/2022,4059
16/1/2022,1653
17/1/2022,2550
18/1/2022,2426
19/1/2022,2874
20/1/2022,3361
21/1/2022,4615
22/1/2022,4752
23/1/2022,1976
24/1/2022,811
25/1/2022,882
26/1/2022,965
27/1/2022,3783
28/1/2022,1545
29/1/2022,1319
30/1/2022,3139
31/1/2022,2094
1/2/2022,2966
2/2/2022,4097
3/2/2022,2913
4/2/2022,3268
5/2/2022,4926
6/2/2022,2380
7/2/2022,5117
8/2/2022,3594
9/2/2022,1440
10/2/2022,6627
11/2/2022,5436
12/2/2022,8368
13/2/2022,9997
14/2/2022,9781
15/2/2022,5760
16/2/2022,4253
17/2/2022,4171
18/2/2022,3486
19/2/2022,11129
20/2/2022,5527
21/2/2022,8896
22/2/2022,5724
23/2/2022,11139
24/2/2022,9495
25/2/2022,10155
26/2/2022,4224
27/2/2022,11506
28/2/2022,12492
1/3/2022,12728
2/3/2022,12685
3/3/2022,12265
4/3/2022,2595
5/3/2022,5705
6/3/2022,5838
7/3/2022,8664
8/3/2022,14893
9/3/2022,14814
10/3/2022,14904
11/3/2022,15979
12/3/2022,16264
13/3/2022,16236
14/3/2022,13817
15/3/2022,8759
16/3/2022,8522
17/3/2022,9803
18/3/2022,11535
19/3/2022,13225
20/3/2022,16955
21/3/2022,18106
22/3/2022,18072
23/3/2022,18569
24/3/2022,17643
25/3/2022,17333
26/3/2022,17830
27/3/2022,18637
28/3/2022,17359
29/3/2022,10748
30/3/2022,3114
31/3/2022,2577
1/4/2022,2109
2/4/2022,6578
3/4/2022,12270
4/4/2022,19102
5/4/2022,9298
6/4/2022,7857
7/4/2022,9875
8/4/2022,8132
9/4/2022,11362
10/4/2022,15678
11/4/2022,21429
12/4/2022,21815
13/4/2022,20986
14/4/2022,19481
15/4/2022,14675
16/4/2022,13889
17/4/2022,21272
18/4/2022,15010
19/4/2022,12660
20/4/2022,9306
21/4/2022,8772
22/4/2022,6072
23/4/2022,24519
24/4/2022,4897
25/4/2022,8345
26/4/2022,20036
27/4/2022,15180
28/4/2022,20843
29/4/2022,21072
30/4/2022,19574
1/5/2022,15660
2/5/2022,18101
3/5/2022,17390
4/5/2022,23390
5/5/2022,12006
6/5/2022,12495
7/5/2022,18789
8/5/2022,20927
9/5/2022,25498
10/5/2022,24476
11/5/2022,25715
12/5/2022,21627
13/5/2022,24792
14/5/2022,25288
15/5/2022,27756
16/5/2022,24951
17/5/2022,16914
18/5/2022,26651
19/5/2022,28535
20/5/2022,23946
21/5/2022,22641
22/5/2022,24842
23/5/2022,22186
24/5/2022,10210
25/5/2022,13549
26/5/2022,17316
27/5/2022,11156
28/5/2022,23478
29/5/2022,17399
30/5/2022,19007
31/5/2022,25073
1/6/2022,24803
2/6/2022,26749
3/6/2022,27796
4/6/2022,16103
5/6/2022,24468
6/6/2022,20448
7/6/2022,10424
8/6/2022,24455
9/6/2022,9075
10/6/2022,27044
11/6/2022,26521
12/6/2022,27265
13/6/2022,17238
14/6/2022,26612
15/6/2022,30040
16/6/2022,20283
17/6/2022,29770
18/6/2022,29061
19/6/2022,29348
20/6/2022,12714
21/6/2022,28164
22/6/2022,27960
23/6/2022,30421
24/6/2022,14968
25/6/2022,8533
26/6/2022,29748
27/6/2022,27365
28/6/2022,16264
29/6/2022,8867
30/6/2022,21507
1/7/2022,10623
2/7/2022,27327
3/7/2022,29522
4/7/2022,16067
5/7/2022,20061
6/7/2022,24200
7/7/2022,10361
8/7/2022,16248
9/7/2022,14103
10/7/2022,16312
11/7/2022,22957
12/7/2022,22013
13/7/2022,20197
14/7/2022,19649
15/7/2022,20837
16/7/2022,20391
17/7/2022,26730
18/7/2022,26076
19/7/2022,28119
20/7/2022,27330
21/7/2022,23133
22/7/2022,26396
23/7/2022,14366
24/7/2022,25950
25/7/2022,27316
26/7/2022,16919
27/7/2022,19815
28/7/2022,27041
29/7/2022,13631
30/7/2022,8794
31/7/2022,22567
1/8/2022,17476
2/8/2022,20498
3/8/2022,26104
4/8/2022,25682
5/8/2022,23901
6/8/2022,21548
7/8/2022,26157
8/8/2022,25529
9/8/2022,23598
10/8/2022,22143
11/8/2022,21066
12/8/2022,20133
13/8/2022,16468
14/8/2022,17258
15/8/2022,20832
16/8/2022,23540
17/8/2022,20962
18/8/2022,17293
19/8/2022,12622
20/8/2022,2532
21/8/2022,17562
22/8/2022,5599
23/8/2022,3351
24/8/2022,11149
25/8/2022,17140
26/8/2022,15873
27/8/2022,9712
28/8/2022,6302
29/8/2022,20437
30/8/2022,16502
31/8/2022,9482
1/9/2022,12833
2/9/2022,19740
3/9/2022,17975
4/9/2022,19854
5/9/2022,14449
6/9/2022,14760
7/9/2022,14168
8/9/2022,5709
9/9/2022,12337
10/9/2022,12549
11/9/2022,11958
12/9/2022,12624
13/9/2022,10659
14/9/2022,3469
15/9/2022,3420
16/9/2022,10221
17/9/2022,7134
18/9/2022,10628
19/9/2022,9022
20/9/2022,8248
21/9/2022,10946
22/9/2022,14713
23/9/2022,14516
24/9/2022,14667
25/9/2022,10580
26/9/2022,10191
27/9/2022,7679
28/9/2022,6968
29/9/2022,14329
30/9/2022,11822
1/10/2022,5466
2/10/2022,7278
3/10/2022,7027
4/10/2022,8453
5/10/2022,10137
6/10/2022,7678
7/10/2022,12281
8/10/2022,5016
9/10/2022,13598
10/10/2022,12063
11/10/2022,3988
12/10/2022,9952
13/10/2022,8757
14/10/2022,5553
15/10/2022,2859
16/10/2022,5995
17/10/2022,10684
18/10/2022,5255
19/10/2022,6625
20/10/2022,9986
21/10/2022,3950
22/10/2022,5156
23/10/2022,9188
24/10/2022,3236
25/10/2022,7705
26/10/2022,3728
27/10/2022,9308
28/10/2022,7725
29/10/2022,6694
30/10/2022,4699
31/10/2022,7351
1/11/2022,2777
2/11/2022,5795
3/11/2022,6892
4/11/2022,885
5/11/2022,4073
6/11/2022,5618
7/11/2022,6017
8/11/2022,7475
9/11/2022,5899
10/11/2022,6272
11/11/2022,3641
12/11/2022,5192
13/11/2022,1764
14/11/2022,6524
15/11/2022,1225
16/11/2022,1042
17/11/2022,1256
18/11/2022,741
19/11/2022,3107
20/11/2022,1599
21/11/2022,1739
22/11/2022,1238
23/11/2022,2446
24/11/2022,1307
25/11/2022,4438
26/11/2022,3146
27/11/2022,3230
28/11/2022,1037
29/11/2022,1128
30/11/2022,2354
1/12/2022,3495
2/12/2022,1007
3/12/2022,755
4/12/2022,802
5/12/2022,666
6/12/2022,935
7/12/2022,2684
8/12/2022,3181
9/12/2022,2251
10/12/2022,849
11/12/2022,1972
12/12/2022,2152
13/12/2022,3732
14/12/2022,933
15/12/2022,4190
16/12/2022,1473
17/12/2022,2491
18/12/2022,1402
19/12/2022,2156
20/12/2022,2640
21/12/2022,626
22/12/2022,2360
23/12/2022,2299
24/12/2022,2858
25/12/2022,3533
26/12/2022,990
27/12/2022,4358
28/12/2022,2684
29/12/2022,2589
30/12/2022,4019
31/12/2022,2828
1/1/2023,2728
2/1/2023,3450
3/1/2023,2757
4/1/2023,1572
5/1/2023,3161
6/1/2023,1707
7/1/2023,2085
8/1/2023,1160
9/1/2023,1467
10/1/2023,2973
11/1/2023,2018
12/1/2023,2046
13/1/2023,2142
14/1/2023,4468
15/1/2023,1004
16/1/2023,5668
17/1/2023,5218
18/1/2023,2585
19/1/2023,3926
20/1/2023,2351
21/1/2023,1602
22/1/2023,1141
23/1/2023,1968
24/1/2023,964
25/1/2023,831
26/1/2023,539
27/1/2023,1146
28/1/2023,1162
29/1/2023,4117
30/1/2023,3665
31/1/2023,2338
1/2/2023,2742
2/2/2023,4359
3/2/2023,1137
4/2/2023,4061
5/2/2023,7283
6/2/2023,5242
7/2/2023,8347
8/2/2023,8328
9/2/2023,8926
10/2/2023,4943
11/2/2023,3281
12/2/2023,3144
13/2/2023,4040
14/2/2023,2633
15/2/2023,2991
16/2/2023,8748
17/2/2023,2018
18/2/2023,4566
19/2/2023,2284
20/2/2023,5645
21/2/2023,4057
22/2/2023,4532
23/2/2023,7683
24/2/2023,5487
25/2/2023,4439
26/2/2023,4486
27/2/2023,7158
28/2/2023,12123
1/3/2023,12349
2/3/2023,12367
3/3/2023,13182
4/3/2023,4220
5/3/2023,4882
6/3/2023,6048
7/3/2023,5981
8/3/2023,3908
9/3/2023,8541
10/3/2023,6831
11/3/2023,4799
12/3/2023,11422
13/3/2023,4916
14/3/2023,4833
15/3/2023,10464
16/3/2023,16475
17/3/2023,15029
18/3/2023,13285
19/3/2023,9798
20/3/2023,8927
21/3/2023,13349
22/3/2023,15863
23/3/2023,5825
24/3/2023,5736
25/3/2023,10963
26/3/2023,8404
27/3/2023,12236
28/3/2023,15545
29/3/2023,7410
30/3/2023,5720
31/3/2023,6771
1/4/2023,9002
2/4/2023,5972
3/4/2023,13140
4/4/2023,16009
5/4/2023,14935
6/4/2023,19886
7/4/2023,8913
8/4/2023,6373
9/4/2023,8924
10/4/2023,18439
11/4/2023,9269
12/4/2023,17632
13/4/2023,8310
14/4/2023,2828
15/4/2023,7098
16/4/2023,16007
17/4/2023,10357
18/4/2023,7294
19/4/2023,16963
20/4/2023,8885
21/4/2023,19645
22/4/2023,23516
23/4/2023,7384
24/4/2023,11159
25/4/2023,11238
26/4/2023,15213
27/4/2023,19469
28/4/2023,11175
29/4/2023,12784
30/4/2023,25513
1/5/2023,22398
2/5/2023,12799
3/5/2023,22134
4/5/2023,24270
5/5/2023,24686
6/5/2023,18239
7/5/2023,11444
8/5/2023,26850
9/5/2023,27531
10/5/2023,19118
11/5/2023,14773
12/5/2023,20337
13/5/2023,8139
14/5/2023,12930
15/5/2023,14360
16/5/2023,14974
17/5/2023,14330
18/5/2023,17276
19/5/2023,19752
20/5/2023,21736
21/5/2023,26350
22/5/2023,25596
23/5/2023,14236
24/5/2023,17435
25/5/2023,28450
26/5/2023,21098
27/5/2023,28477
28/5/2023,28453
29/5/2023,28774
30/5/2023,26984
31/5/2023,29502
1/6/2023,25457
2/6/2023,24248
3/6/2023,30305
4/6/2023,30059
5/6/2023,10516
6/6/2023,8853
7/6/2023,21687
8/6/2023,21070
9/6/2023,18768
10/6/2023,16689
11/6/2023,26128
12/6/2023,27675
13/6/2023,22143
14/6/2023,18021
15/6/2023,23480
16/6/2023,19240
17/6/2023,18591
18/6/2023,27924
19/6/2023,18364
20/6/2023,22431
21/6/2023,19522
22/6/2023,25566
23/6/2023,12276
24/6/2023,24055
25/6/2023,26335
26/6/2023,24312
27/6/2023,19044
28/6/2023,24692
29/6/2023,29846
30/6/2023,8073
1/7/2023,24810
2/7/2023,19806
3/7/2023,24722
4/7/2023,24791
5/7/2023,21194
6/7/2023,25429
7/7/2023,28681
8/7/2023,29139
9/7/2023,28254
10/7/2023,16744
11/7/2023,26292
12/7/2023,19418
13/7/2023,21782
14/7/2023,24521
15/7/2023,28263
16/7/2023,14570
17/7/2023,24562
18/7/2023,26265
19/7/2023,21117
20/7/2023,18394
21/7/2023,18044
22/7/2023,17709
23/7/2023,20586
24/7/2023,11185
25/7/2023,12439
26/7/2023,15856
27/7/2023,18093
28/7/2023,16028
29/7/2023,16395
30/7/2023,12912
31/7/2023,11254
1/8/2023,10578
2/8/2023,13161
3/8/2023,19969
4/8/2023,18298
5/8/2023,6079
6/8/2023,7486
7/8/2023,15127
8/8/2023,20179
9/8/2023,16583
10/8/2023,20730
11/8/2023,22854
12/8/2023,22680
13/8/2023,16540
14/8/2023,19805
15/8/2023,22786
16/8/2023,20064
17/8/2023,18461
18/8/2023,21446
19/8/2023,23221
20/8/2023,15789
21/8/2023,15516
22/8/2023,17458
23/8/2023,21249
24/8/2023,21711
25/8/2023,14928
26/8/2023,13009
27/8/2023,3789
28/8/2023,2647
29/8/2023,3600
30/8/2023,7846
31/8/2023,16528
1/9/2023,7745
2/9/2023,13178
3/9/2023,14217
4/9/2023,20737
5/9/2023,20341
6/9/2023,20357
7/9/2023,20050
8/9/2023,19912
9/9/2023,19625
10/9/2023,19117
11/9/2023,16213
12/9/2023,16311
13/9/2023,12699
14/9/2023,11539
15/9/2023,15419
16/9/2023,16308
17/9/2023,17730
18/9/2023,15777
19/9/2023,11556
20/9/2023,16512
21/9/2023,11731
22/9/2023,5002
23/9/2023,8261
24/9/2023,14513
25/9/2023,12856
26/9/2023,14693
27/9/2023,15431
28/9/2023,15162
29/9/2023,14087
30/9/2023,12092
1/10/2023,11778
2/10/2023,14127
3/10/2023,13082
4/10/2023,11360
5/10/2023,11124
6/10/2023,12960
7/10/2023,6587
8/10/2023,5332
9/10/2023,3259
10/10/2023,8161
11/10/2023,11378
12/10/2023,3309
13/10/2023,5911
14/10/2023,4970
15/10/2023,11303
16/10/2023,10270
17/10/2023,8680
18/10/2023,9679
19/10/2023,5600
20/10/2023,3978
21/10/2023,10760
22/10/2023,10187
23/10/2023,9386
24/10/2023,2221
25/10/2023,7976
26/10/2023,5476
27/10/2023,2955
28/10/2023,5358
29/10/2023,5228
30/10/2023,6237
31/10/2023,2196
1/11/2023,6237
2/11/2023,5465
3/11/2023,1517
4/11/2023,7963
5/11/2023,4543
6/11/2023,5529
7/11/2023,6187
8/11/2023,2281
9/11/2023,6097
10/11/2023,2684
11/11/2023,2033
12/11/2023,6097
13/11/2023,1696
14/11/2023,2330
15/11/2023,2359
16/11/2023,5143
17/11/2023,4967
18/11/2023,2612
19/11/2023,3785
20/11/2023,3489
21/11/2023,2129
22/11/2023,760
23/11/2023,2248
24/11/2023,3824
25/11/2023,2985
26/11/2023,2696
27/11/2023,2141
28/11/2023,971
29/11/2023,4930
30/11/2023,2895
1/12/2023,712
2/12/2023,1475
3/12/2023,2982
4/12/2023,4252
5/12/2023,2329
6/12/2023,2436
7/12/2023,958
8/12/2023,3545
9/12/2023,1635
10/12/2023,2454
11/12/2023,2865
12/12/2023,3656
13/12/2023,2139
14/12/2023,1360
15/12/2023,3131
16/12/2023,1692
17/12/2023,4373
18/12/2023,4776
19/12/2023,3418
20/12/2023,2809
21/12/2023,589
22/12/2023,1434
23/12/2023,576
24/12/2023,1318
25/12/2023,1192
26/12/2023,1781
27/12/2023,4230
28/12/2023,1155
29/12/2023,3440
30/12/2023,2995
31/12/2023,2618
